,xrsa,xrsb
2017-09-07 08:43:00,1e-09,2.248723e-08
2017-09-07 08:44:00,1e-09,1.6647197e-08
2017-09-07 08:45:00,1e-09,1.7032209e-08
2017-09-07 08:46:00,2.8661828e-09,2.248723e-08
2017-09-07 08:47:00,4.7738022e-09,2.2227674e-08
2017-09-07 08:48:00,5.3642557e-09,9.7689385e-09
2017-09-07 08:49:00,5.9441114e-09,1.1763201e-08
2017-09-07 08:50:00,7.181036e-09,4.5777995e-09
2017-09-07 08:51:00,5.9547096e-09,8.211597e-09
2017-09-07 08:52:00,4.056174e-09,4.2360493e-09
2017-09-07 08:53:00,5.3188365e-09,4.448021e-09
2017-09-07 08:54:00,6.000129e-09,1e-09
2017-09-07 08:55:00,4.495229e-09,2.730619e-09
2017-09-07 08:56:00,5.636773e-09,1e-09
2017-09-07 08:57:00,9.9062065e-09,5.3564704e-09
2017-09-07 08:58:00,9.361173e-09,8.341376e-09
2017-09-07 08:59:00,8.578444e-09,1.0634128e-08
2017-09-07 09:00:00,4.592124e-09,4.3182427e-09
2017-09-07 09:01:00,1e-09,1.5928943e-09
2017-09-07 09:02:00,1.1584094e-09,1e-09
2017-09-07 09:03:00,7.453553e-09,1e-09
2017-09-07 09:04:00,6.545163e-09,1e-09
2017-09-07 09:05:00,8.183293e-09,1e-09
2017-09-07 09:06:00,5.273417e-09,1e-09
2017-09-07 09:07:00,1.6852756e-09,1e-09
2017-09-07 09:08:00,1.0494025e-09,1e-09
2017-09-07 09:09:00,1e-09,1e-09
2017-09-07 09:10:00,1e-09,1e-09
2017-09-07 09:11:00,1e-09,1e-09
2017-09-07 09:12:00,1e-09,1e-09
2017-09-07 09:13:00,1e-09,1e-09
2017-09-07 09:14:00,1e-09,1e-09
2017-09-07 09:15:00,2.5482463e-09,1e-09
2017-09-07 09:16:00,3.5293077e-09,1e-09
2017-09-07 09:17:00,6.9539388e-09,1e-09
2017-09-07 09:18:00,5.0008997e-09,1e-09
2017-09-07 09:19:00,2.3211486e-09,1e-09
2017-09-07 09:20:00,2.4574072e-09,1e-09
2017-09-07 09:21:00,5.5005143e-09,2.1189447e-08
2017-09-07 09:22:00,1.7221434e-07,2.0424634e-06
2017-09-07 09:23:00,1.5265972e-07,2.5644583e-06
2017-09-07 09:24:00,1.1895845e-07,2.3147645e-06
2017-09-07 09:25:00,1.0033645e-07,2.155786e-06
2017-09-07 09:26:00,8.6642466e-08,2.0018167e-06
2017-09-07 09:27:00,7.4129396e-08,1.8639141e-06
2017-09-07 09:28:00,6.2819936e-08,1.7432202e-06
2017-09-07 09:29:00,5.520611e-08,1.6519297e-06
2017-09-07 09:30:00,5.137422e-08,1.58699e-06
2017-09-07 09:31:00,4.7922335e-08,1.5438804e-06
2017-09-07 09:32:00,4.7786077e-08,1.5210826e-06
2017-09-07 09:33:00,4.7150206e-08,1.5076861e-06
2017-09-07 09:34:00,4.5288004e-08,1.5062446e-06
2017-09-07 09:35:00,5.496236e-08,1.558156e-06
2017-09-07 09:36:00,9.2481905e-08,1.7489044e-06
2017-09-07 09:37:00,1.01744455e-07,1.8958397e-06
2017-09-07 09:38:00,8.5665945e-08,1.8875385e-06
2017-09-07 09:39:00,1.0135082e-07,1.9789843e-06
2017-09-07 09:40:00,1.3331102e-07,2.194979e-06
2017-09-07 09:41:00,1.0506008e-07,2.1777184e-06
2017-09-07 09:42:00,8.361299e-08,2.0541304e-06
2017-09-07 09:43:00,7.308474e-08,1.9572249e-06
2017-09-07 09:44:00,6.354665e-08,1.87222e-06
2017-09-07 09:45:00,6.1866125e-08,1.82302e-06
2017-09-07 09:46:00,6.3987216e-08,1.8337104e-06
2017-09-07 09:47:00,6.1184835e-08,1.8219957e-06
2017-09-07 09:48:00,5.964057e-08,1.7889022e-06
2017-09-07 09:49:00,6.2538334e-08,1.7938165e-06
2017-09-07 09:50:00,7.617327e-08,1.8766324e-06
2017-09-07 09:51:00,2.1284058e-07,2.5068368e-06
2017-09-07 09:52:00,4.1037003e-07,3.591136e-06
2017-09-07 09:53:00,3.1461552e-06,1.4412209e-05
2017-09-07 09:54:00,4.4417375e-06,2.1316346e-05
2017-09-07 09:55:00,3.1296588e-06,1.6822636e-05
2017-09-07 09:56:00,2.3661953e-06,1.435425e-05
2017-09-07 09:57:00,2.2917823e-06,1.4663382e-05
2017-09-07 09:58:00,1.2828788e-06,1.1319509e-05
